e.n.nuu_r_rnaappattiyonn'	e.n|.nuu_r_r|naa|ppatti|yonn'	+8|*100|+4|*10|+1
nuu_r_riyempattiyonn'	nuu_r_ri|yem|patti|yonn'	+1&*100|+8|*10|+1
naanuu_r_ra_rupattiyonn'	naa|nuu_r_r|a_ru|patti|yonn'	+4|*100|+6|*10|+1
a~n~nuu_r_ra_rupattiyonn'	a~n|~nuu_r_r|a_ru|patti|yonn'	+5|*100|+6|*10|+1
a_ranuu_r_rmuppattiyonn'	a_ra|nuu_r_r|mu|ppatti|yonn'	+6|*100|+3|*10|+1
nuu_r_ronn'	nuu_r_r|onn'	+1&*100|+1
a_ranuu_r_rnaappattonn'	a_ra|nuu_r_r|naa|ppatt|onn'	+6|*100|+4|*10|+1
a~n~nuu_r_re.npattonn'	a~n|~nuu_r_r|e.n|patt|onn'	+5|*100|+8|*10|+1
naanuu_r_riye_lupattiyonn'	naa|nuu_r_ri|ye_lu|patti|yonn'	+4|*100|+7|*10|+1
a~n~nuu_r_rinaappattonn'	a~n|~nuu_r_ri|naa|ppatt|onn'	+5|*100|+4|*10|+1
munnuu_r_riye_lupattonn'	mun|nuu_r_ri|ye_lu|patt|onn'	+3|*100|+7|*10|+1
irunuu_r_ra_rupattonn'	iru|nuu_r_r|a_ru|patt|onn'	+2|*100|+6|*10|+1
munnuu_r_rinaalpattiyonn'	mun|nuu_r_ri|naal|patti|yonn'	+3|*100|+4|*10|+1
munnuu_r_ranpattiyonn'	mun|nuu_r_r|an|patti|yonn'	+3|*100|+5|*10|+1
a_ranuu_r_rnaappattiyonn'	a_ra|nuu_r_r|naa|ppatti|yonn'	+6|*100|+4|*10|+1
a_ranuu_r_ritto.n.nuu_r_riyonn'	a_ra|nuu_r_ri|tto.n.nuu_r_ri|yonn'	+6|*100|+9&*10|+1
irunuu_r_rampattiyonn'	iru|nuu_r_r|am|patti|yonn'	+2|*100|+5|*10|+1
e.n.nuu_r_riyirupattonn'	e.n|.nuu_r_ri|yiru|patt|onn'	+8|*100|+2|*10|+1
nuu_r_riya_rupattonn'	nuu_r_ri|ya_ru|patt|onn'	+1&*100|+6|*10|+1
irunuu_r_riyanpattiyonn'	iru|nuu_r_ri|yan|patti|yonn'	+2|*100|+5|*10|+1
munnuu_r_rnaalpattiyonn'	mun|nuu_r_r|naal|patti|yonn'	+3|*100|+4|*10|+1
irunuu_r_rto.n.nuu_r_ronn'	iru|nuu_r_r|to.n.nuu_r_r|onn'	+2|*100|+9&*10|+1
nuu_r_riyanpattiyonn'	nuu_r_ri|yan|patti|yonn'	+1&*100|+5|*10|+1
naanuu_r_rinaappattiyonn'	naa|nuu_r_ri|naa|ppatti|yonn'	+4|*100|+4|*10|+1
a_ranuu_r_riye.npattiyonn'	a_ra|nuu_r_ri|ye.n|patti|yonn'	+6|*100|+8|*10|+1
e.n.nuu_r_riyanpattiyonn'	e.n|.nuu_r_ri|yan|patti|yonn'	+8|*100|+5|*10|+1
a_ranuu_r_ra_rupattonn'	a_ra|nuu_r_r|a_ru|patt|onn'	+6|*100|+6|*10|+1
e_lunuu_r_ronn'	e_lu|nuu_r_r|onn'	+7|*100|+1
nuu_r_riyampattiyonn'	nuu_r_ri|yam|patti|yonn'	+1&*100|+5|*10|+1
irunuu_r_re_lupattonn'	iru|nuu_r_r|e_lu|patt|onn'	+2|*100|+7|*10|+1
a_ranuu_r_rampattonn'	a_ra|nuu_r_r|am|patt|onn'	+6|*100|+5|*10|+1
a~n~nuu_r_riyanpattonn'	a~n|~nuu_r_ri|yan|patt|onn'	+5|*100|+5|*10|+1
munnuu_r_rnaalpattonn'	mun|nuu_r_r|naal|patt|onn'	+3|*100|+4|*10|+1
irunuu_r_rto.n.nuu_r_riyonn'	iru|nuu_r_r|to.n.nuu_r_ri|yonn'	+2|*100|+9&*10|+1
munnuu_r_rampattiyonn'	mun|nuu_r_r|am|patti|yonn'	+3|*100|+5|*10|+1
irunuu_r_rnaalpattiyonn'	iru|nuu_r_r|naal|patti|yonn'	+2|*100|+4|*10|+1
naanuu_r_riyanpattonn'	naa|nuu_r_ri|yan|patt|onn'	+4|*100|+5|*10|+1
e.n.nuu_r_rto.n.nuu_r_riyonn'	e.n|.nuu_r_r|to.n.nuu_r_ri|yonn'	+8|*100|+9&*10|+1
a~n~nuu_r_rto.n.nuu_r_ronn'	a~n|~nuu_r_r|to.n.nuu_r_r|onn'	+5|*100|+9&*10|+1
e.n.nuu_r_rirupattonn'	e.n|.nuu_r_r|iru|patt|onn'	+8|*100|+2|*10|+1
irunuu_r_rmuppattonn'	iru|nuu_r_r|mu|ppatt|onn'	+2|*100|+3|*10|+1
e.n.nuu_r_riyampattiyonn'	e.n|.nuu_r_ri|yam|patti|yonn'	+8|*100|+5|*10|+1
a~n~nuu_r_rempattiyonn'	a~n|~nuu_r_r|em|patti|yonn'	+5|*100|+8|*10|+1
e.n.nuu_r_riye.npattonn'	e.n|.nuu_r_ri|ye.n|patt|onn'	+8|*100|+8|*10|+1
nuu_r_ritto.n.nuu_r_riyonn'	nuu_r_ri|tto.n.nuu_r_ri|yonn'	+1&*100|+9&*10|+1
e_lunuu_r_re_lupattonn'	e_lu|nuu_r_r|e_lu|patt|onn'	+7|*100|+7|*10|+1
e_lunuu_r_re.npattonn'	e_lu|nuu_r_r|e.n|patt|onn'	+7|*100|+8|*10|+1
e_lunuu_r_rinaalpattonn'	e_lu|nuu_r_ri|naal|patt|onn'	+7|*100|+4|*10|+1
a_ranuu_r_rinaappattiyonn'	a_ra|nuu_r_ri|naa|ppatti|yonn'	+6|*100|+4|*10|+1
e.n.nuu_r_riye_lupattiyonn'	e.n|.nuu_r_ri|ye_lu|patti|yonn'	+8|*100|+7|*10|+1
e.n.nuu_r_riyirupattiyonn'	e.n|.nuu_r_ri|yiru|patti|yonn'	+8|*100|+2|*10|+1
naanuu_r_riyempattiyonn'	naa|nuu_r_ri|yem|patti|yonn'	+4|*100|+8|*10|+1
naanuu_r_riye.npattonn'	naa|nuu_r_ri|ye.n|patt|onn'	+4|*100|+8|*10|+1
naanuu_r_rimuppattiyonn'	naa|nuu_r_ri|mu|ppatti|yonn'	+4|*100|+3|*10|+1
munnuu_r_rto.n.nuu_r_riyonn'	mun|nuu_r_r|to.n.nuu_r_ri|yonn'	+3|*100|+9&*10|+1
nuu_r_riyempattonn'	nuu_r_ri|yem|patt|onn'	+1&*100|+8|*10|+1
naappattonn'	naa|ppatt|onn'	+4|*10|+1
naanuu_r_re_lupattiyonn'	naa|nuu_r_r|e_lu|patti|yonn'	+4|*100|+7|*10|+1
nuu_r_rimuppattonn'	nuu_r_ri|mu|ppatt|onn'	+1&*100|+3|*10|+1
a~n~nuu_r_ritto.n.nuu_r_ronn'	a~n|~nuu_r_ri|tto.n.nuu_r_r|onn'	+5|*100|+9&*10|+1
nuu_r_riyirupattonn'	nuu_r_ri|yiru|patt|onn'	+1&*100|+2|*10|+1
a_ranuu_r_rto.n.nuu_r_riyonn'	a_ra|nuu_r_r|to.n.nuu_r_ri|yonn'	+6|*100|+9&*10|+1
naanuu_r_rempattiyonn'	naa|nuu_r_r|em|patti|yonn'	+4|*100|+8|*10|+1
e.n.nuu_r_rimuppattiyonn'	e.n|.nuu_r_ri|mu|ppatti|yonn'	+8|*100|+3|*10|+1
naanuu_r_riyampattiyonn'	naa|nuu_r_ri|yam|patti|yonn'	+4|*100|+5|*10|+1
irunuu_r_ronn'	iru|nuu_r_r|onn'	+2|*100|+1
